index,id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,person_id,name,character,role,credit_count
43886,tm438005,First Love,MOVIE,2018,NR,122,"['drama', 'romance']",['PH'],tt9060390,6.0,149.0,1.572,5.9,167475,Aga Muhlach,Nick Gutierrez,ACTOR,3
43894,tm416134,Fernando Sanjiao: Hombre,MOVIE,2018,NR,63,['comedy'],['AR'],tt7607332,6.0,57.0,1.179,6.5,211560,Raúl Campos,Unavailable,DIRECTOR,21
43895,tm416134,Fernando Sanjiao: Hombre,MOVIE,2018,NR,63,['comedy'],['AR'],tt7607332,6.0,57.0,1.179,6.5,590250,Jan Suter,Unavailable,DIRECTOR,20
43898,tm371741,Si saben cómo me pongo ¿Pa' qué me invitan?,MOVIE,2018,NR,89,"['romance', 'comedy']",['CO'],tt7940122,5.0,216.0,6.87,5.8,247950,Ricardo Quevedo,Alberto,ACTOR,4
43906,tm371741,Si saben cómo me pongo ¿Pa' qué me invitan?,MOVIE,2018,NR,89,"['romance', 'comedy']",['CO'],tt7940122,5.0,216.0,6.87,5.8,637070,Liss Pereira,Esperanza,ACTOR,3
43927,tm371741,Si saben cómo me pongo ¿Pa' qué me invitan?,MOVIE,2018,NR,89,"['romance', 'comedy']",['CO'],tt7940122,5.0,216.0,6.87,5.8,247954,Fernando Ayllón,Unavailable,DIRECTOR,6
43933,tm478147,The Lost Café,MOVIE,2018,NR,76,"['drama', 'comedy']","['NO', 'NG']",tt7371662,6.0,24.0,1.4,5.0,1603075,Kenneth Gyang,Unavailable,DIRECTOR,3
43971,tm336084,Echcharikkai,MOVIE,2018,NR,134,"['thriller', 'crime', 'drama']",['IN'],tt7853268,6.0,307.0,2.334,4.9,45437,Sathyaraj,Nataraj IPS,ACTOR,8
43972,tm336084,Echcharikkai,MOVIE,2018,NR,134,"['thriller', 'crime', 'drama']",['IN'],tt7853268,6.0,307.0,2.334,4.9,193033,Varalaxmi Sarathkumar,Swetha,ACTOR,3
43975,tm336084,Echcharikkai,MOVIE,2018,NR,134,"['thriller', 'crime', 'drama']",['IN'],tt7853268,6.0,307.0,2.334,4.9,138710,Yogi Babu,Frank De Souza,ACTOR,8
43989,tm369079,Todd Glass: Act Happy,MOVIE,2018,NR,62,['comedy'],['US'],tt7752142,5.0,366.0,2.867,5.7,5640,Jeff Garlin,Bus Driver,ACTOR,5
44015,tm423593,Aruna & Her Palate,MOVIE,2018,NR,106,"['romance', 'drama']",['ID'],tt8894180,7.0,765.0,2.023,6.6,161726,Dian Sastro,Aruna,ACTOR,4
44017,tm423593,Aruna & Her Palate,MOVIE,2018,NR,106,"['romance', 'drama']",['ID'],tt8894180,7.0,765.0,2.023,6.6,29140,Hannah Al Rashid,Nadezhda,ACTOR,3
44035,tm423593,Aruna & Her Palate,MOVIE,2018,NR,106,"['romance', 'drama']",['ID'],tt8894180,7.0,765.0,2.023,6.6,113012,Edwin,Unavailable,DIRECTOR,3
44042,tm346867,Lynne Koplitz: Hormonal Beast,MOVIE,2017,NR,51,['comedy'],['US'],tt6892388,6.0,417.0,1.387,5.6,37676,Marcus Raboy,Unavailable,DIRECTOR,15
44043,tm312738,Jindua,MOVIE,2017,NR,140,"['romance', 'comedy', 'family']",['IN'],tt5917052,6.0,275.0,1.14,9.3,65750,Jimmy Shergill,Karma,ACTOR,4
44057,tm242887,Sei,MOVIE,2018,NR,128,"['thriller', 'action', 'crime']",['IN'],tt5820544,4.0,64.0,1.638,4.3,64203,Prakash Raj,ACP Suryanarayana,ACTOR,9
44058,tm242887,Sei,MOVIE,2018,NR,128,"['thriller', 'action', 'crime']",['IN'],tt5820544,4.0,64.0,1.638,4.3,45436,Nassar,Unavailable,ACTOR,17
44062,tm242887,Sei,MOVIE,2018,NR,128,"['thriller', 'action', 'crime']",['IN'],tt5820544,4.0,64.0,1.638,4.3,65268,Manobala,Film Producer,ACTOR,6
44068,tm444799,Christmas Catch,MOVIE,2018,NR,80,"['romance', 'comedy', 'crime']",['CA'],tt8322908,5.0,1428.0,3.677,5.3,6328,Lauren Holly,Captain Bennett,ACTOR,3
44072,tm444799,Christmas Catch,MOVIE,2018,NR,80,"['romance', 'comedy', 'crime']",['CA'],tt8322908,5.0,1428.0,3.677,5.3,953870,Joseph Cannata,Ed,ACTOR,5
44078,tm444799,Christmas Catch,MOVIE,2018,NR,80,"['romance', 'comedy', 'crime']",['CA'],tt8322908,5.0,1428.0,3.677,5.3,160440,Justin G. Dyck,Unavailable,DIRECTOR,9
44082,tm371188,#FriendButMarried,MOVIE,2018,NR,102,"['romance', 'comedy', 'drama']",['ID'],tt8076266,7.0,695.0,1.96,6.8,265449,Adipati Dolken,Ditto,ACTOR,5
44083,tm371188,#FriendButMarried,MOVIE,2018,NR,102,"['romance', 'comedy', 'drama']",['ID'],tt8076266,7.0,695.0,1.96,6.8,829755,Vanesha Prescilla,Ayu,ACTOR,4
44087,tm371188,#FriendButMarried,MOVIE,2018,NR,102,"['romance', 'comedy', 'drama']",['ID'],tt8076266,7.0,695.0,1.96,6.8,647257,Refal Hady,Rifnu,ACTOR,4
44089,tm371188,#FriendButMarried,MOVIE,2018,NR,102,"['romance', 'comedy', 'drama']",['ID'],tt8076266,7.0,695.0,1.96,6.8,311958,Iqbaal Dhiafakhri Ramadhan,Iqbaal,ACTOR,6
44099,tm371188,#FriendButMarried,MOVIE,2018,NR,102,"['romance', 'comedy', 'drama']",['ID'],tt8076266,7.0,695.0,1.96,6.8,2304430,Ridwan Kamil,Himself,ACTOR,3
44100,tm371188,#FriendButMarried,MOVIE,2018,NR,102,"['romance', 'comedy', 'drama']",['ID'],tt8076266,7.0,695.0,1.96,6.8,322509,Khiva Iskak,Music Engineer,ACTOR,3
44113,tm367613,Mr. Chandramouli,MOVIE,2018,NR,122,"['romance', 'sport', 'comedy']",['IN'],tt7486356,5.0,234.0,1.4,4.7,67250,Regina Cassandra,Madhu,ACTOR,3
44114,tm367613,Mr. Chandramouli,MOVIE,2018,NR,122,"['romance', 'sport', 'comedy']",['IN'],tt7486356,5.0,234.0,1.4,4.7,193033,Varalaxmi Sarathkumar,Bhairavi,ACTOR,3
44116,tm367613,Mr. Chandramouli,MOVIE,2018,NR,122,"['romance', 'sport', 'comedy']",['IN'],tt7486356,5.0,234.0,1.4,4.7,192150,Sathish,Padmani,ACTOR,3
44126,tm369452,Sebastián Marcelo Wainraich,MOVIE,2018,NR,49,['comedy'],['AR'],tt7607416,6.0,105.0,1.009,6.5,211560,Raúl Campos,Unavailable,DIRECTOR,21
44127,tm369452,Sebastián Marcelo Wainraich,MOVIE,2018,NR,49,['comedy'],['AR'],tt7607416,6.0,105.0,1.009,6.5,590250,Jan Suter,Unavailable,DIRECTOR,20
44128,tm430281,Dhh,MOVIE,2018,R,128,"['drama', 'family']",['IN'],tt7613166,8.0,320.0,1.22,9.0,55478,Naseeruddin Shah,Magician,ACTOR,19
44129,tm430281,Dhh,MOVIE,2018,R,128,"['drama', 'family']",['IN'],tt7613166,8.0,320.0,1.22,9.0,84410,Brijendra Kala,Hindi Teacher,ACTOR,12
44133,tm445852,Three Words to Forever,MOVIE,2018,NR,106,"['drama', 'romance', 'comedy', 'family']",['XX'],tt9248252,7.0,109.0,1.755,10.0,136622,Richard Gomez,Rick Andrada,ACTOR,3
44134,tm445852,Three Words to Forever,MOVIE,2018,NR,106,"['drama', 'romance', 'comedy', 'family']",['XX'],tt9248252,7.0,109.0,1.755,10.0,178110,Kathryn Bernardo,Tin Andrada,ACTOR,10
44136,tm445852,Three Words to Forever,MOVIE,2018,NR,106,"['drama', 'romance', 'comedy', 'family']",['XX'],tt9248252,7.0,109.0,1.755,10.0,158352,Freddie Webb,Cito Andrada,ACTOR,3
44137,tm445852,Three Words to Forever,MOVIE,2018,NR,106,"['drama', 'romance', 'comedy', 'family']",['XX'],tt9248252,7.0,109.0,1.755,10.0,184051,Liza Lorena,Tinay Andrada,ACTOR,3
44138,tm445852,Three Words to Forever,MOVIE,2018,NR,106,"['drama', 'romance', 'comedy', 'family']",['XX'],tt9248252,7.0,109.0,1.755,10.0,164759,Cheska Iñigo,Unavailable,ACTOR,4
44139,tm445852,Three Words to Forever,MOVIE,2018,NR,106,"['drama', 'romance', 'comedy', 'family']",['XX'],tt9248252,7.0,109.0,1.755,10.0,141681,Joross Gamboa,Paeng,ACTOR,11
44140,tm445852,Three Words to Forever,MOVIE,2018,NR,106,"['drama', 'romance', 'comedy', 'family']",['XX'],tt9248252,7.0,109.0,1.755,10.0,255294,Marnie Lapus,Unavailable,ACTOR,3
44141,tm445852,Three Words to Forever,MOVIE,2018,NR,106,"['drama', 'romance', 'comedy', 'family']",['XX'],tt9248252,7.0,109.0,1.755,10.0,148870,Hyubs Azarcon,Unavailable,ACTOR,4
44143,tm445852,Three Words to Forever,MOVIE,2018,NR,106,"['drama', 'romance', 'comedy', 'family']",['XX'],tt9248252,7.0,109.0,1.755,10.0,141692,Cathy Garcia-Molina,Unavailable,DIRECTOR,12
